id,name,category,stage,roles,traits,balance_scores,cuisines,cook_min,cook_max,salt_risk,pairs_with,avoid_with,notes
chicken_thighs,Chicken thighs,protein,brown,protein; fat; body,savory,"{""body"":2,""richness"":3,""umami"":2}",universal; french; italian; mexican; east_asian; indian,15,25,low,pearl_barley; rutabaga; cooked_chickpeas; spinach; lemon_juice,,Cheap and forgiving; at long pressure times expect shredded texture.
chicken_drumsticks,Chicken drumsticks,protein,brown,protein; collagen; body,savory,"{""body"":3,""richness"":2,""umami"":2}",universal; american; french,20,30,low,roots; pearl_barley; cabbage; thyme,,Bone-in; contributes more broth body than thighs.
chicken_feet,Chicken feet,protein,pressure,collagen; body,,"{""body"":5,""richness"":2,""umami"":2}",east_asian; eastern_european; universal,45,60,low,chicken_thighs; dried_mushrooms; pearl_barley; ginger,,"Stock builder, not a substantial meat portion."
beef_chuck,Beef chuck,protein,brown,protein; collagen; fat; body,savory,"{""body"":4,""richness"":4,""umami"":3}",french; american; universal,45,60,low,pearl_barley; fresh_mushrooms; red_wine; celery_root,,Reliable long-cook beef.
beef_short_ribs,Beef short ribs,protein,brown,protein; collagen; fat; body,savory,"{""body"":5,""richness"":5,""umami"":4}",french; east_asian; american,45,60,low,fresh_mushrooms; red_wine; celery_root; lemon_juice,ham_hock; smoked_sausage,Very rich; pair with lighter vegetables and acid.
beef_shank,Beef shank,protein,brown,protein; collagen; body,savory,"{""body"":5,""richness"":4,""umami"":4}",italian; french; universal,60,90,low,canned_tomatoes; pearl_barley; roots; parsley,,Marrow and connective tissue enrich the liquid.
pork_shoulder,Pork shoulder,protein,brown,protein; fat; body,savory,"{""body"":4,""richness"":4,""umami"":3}",mexican; american; universal,45,60,low,dried_black_beans; cabbage; cumin; cider_vinegar,bacon; smoked_sausage,Better timing match for dried beans than chicken.
pork_stewing_cubes,Pork stewing cubes,protein,brown,protein; fat,savory,"{""body"":3,""richness"":3,""umami"":2}",universal; mexican; central_european,35,50,low,dried_black_beans; rutabaga; smoked_paprika,,Timing depends on cut and leanness.
lamb_shoulder,Lamb shoulder,protein,brown,protein; fat; body,gamey,"{""body"":4,""richness"":4,""umami"":3,""aromatic_intensity"":2}",north_african; mediterranean; middle_eastern,45,60,low,dried_chickpeas; cumin; coriander_seed; cinnamon,,Strong profile anchor.
lamb_shank,Lamb shank,protein,brown,protein; collagen; body,gamey,"{""body"":5,""richness"":4,""umami"":4}",north_african; mediterranean,50,70,low,dried_chickpeas; roots; parsley; lemon_juice,,Long-cook centerpiece.
oxtail,Oxtail,protein,brown,protein; collagen; fat; body,savory,"{""body"":5,""richness"":5,""umami"":4}",latin_american; east_asian; french,60,90,low,beans; roots; red_wine; thyme,ham_hock; smoked_sausage,"Excellent body, usually expensive."
ham_hock,Ham hock,protein,pressure,protein; collagen; fat; seasoning; body,savory,"{""body"":5,""richness"":4,""umami"":4,""smoke"":4}",american; french; central_european,45,60,high,dried_white_beans; split_peas; cabbage; pearl_barley,chicken_stock; bacon; smoked_sausage; miso,Salt only after cooking.
smoked_turkey_leg,Smoked turkey leg,protein,pressure,protein; collagen; seasoning; body,savory,"{""body"":4,""richness"":3,""umami"":4,""smoke"":4}",american,40,60,high,beans; greens; pearl_barley,ham_hock,Lighter smoked alternative to ham hock.
